Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jim Costa,D,CA,16,Yes,Yes,"$2,135,525","$1,835,244"
Kevin Cookingham,R,CA,16,No,No,"$265,364","$265,364"
Ro Khanna,D,CA,17,Yes,Yes,"$3,837,982","$2,455,457"
Ritesh Tandon,R,CA,17,No,No,"$175,536","$175,015"
Anna Eshoo,D,CA,18,Yes,Yes,"$2,114,909","$2,059,158"
Rishi Kumar,D,CA,18,No,No,"$674,383","$691,938"
Zoe Lofgren,D,CA,19,Yes,Yes,"$1,755,555","$1,731,700"
Justin Aguilera,R,CA,19,No,No,"$9,112","$11,542"
Jimmy Panetta,D,CA,20,Yes,Yes,"$2,009,894","$1,592,671"
Jeff Gorman,R,CA,20,No,No,"$67,634","$64,947"
TJ Cox,D,CA,21,Yes,No,"$5,695,157","$5,694,005"
David Valadao,R,CA,21,No,Yes,"$4,067,880","$3,982,587"
Devin Nunes,R,CA,22,Yes,Yes,"$26,825,212","$20,156,093"
Phil Arballo,D,CA,22,No,No,"$5,091,451","$5,062,185"
Kevin McCarthy,R,CA,23,Yes,Yes,"$27,780,644","$24,265,583"
Kim Mangone,D,CA,23,No,No,"$1,671,101","$1,665,373"
Salud Carbajal,D,CA,24,Yes,Yes,"$2,117,836","$1,451,622"
Andy Caldwell,R,CA,24,No,No,"$1,298,798","$1,268,199"
Mike Garcia,R,CA,25,Yes,Yes,"$9,962,507","$9,584,648"
Christy Smith,D,CA,25,No,No,"$5,977,734","$5,808,477"
Julia Brownley,D,CA,26,Yes,Yes,"$1,976,695","$1,314,677"
Ronda Kennedy,R,CA,26,No,No,"$246,226","$67,208"
Judy Chu,D,CA,27,Yes,Yes,"$1,213,706","$956,298"
Johnny Nalbandian,R,CA,27,No,No,"$39,584","$39,159"
Adam Schiff,D,CA,28,Yes,Yes,"$19,382,855","$10,188,664"
Eric Early,R,CA,28,No,No,"$4,085,322","$3,790,027"
Tony Cardenas,D,CA,29,Yes,Yes,"$1,419,697","$1,213,588"
Angelica Duenas,3,CA,29,No,No,"$78,083","$76,627"
